yr,quarter,countryi,countryj,exp_ij,wdist_ij,gdp_i,gdp_j,gdpcap_i,gdpcap_j,pop_i,pop_j,price_pi,price_pj,tr_mbs,cdt_mbs,WBCNon_NC,contig,com_lang,landlci,landlcj,Ke_ntb_ug1,Ke_ntb_eac1,Rw_ntb_ke,Ke_ntb_eac2,,,,,,,,,,,,,,,,
2018,Q3,RWA,KEN,2763076,1201,2.3776,23.0850,191,464,12457451,49711610,875,101,45,115,15,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2018,Q4,RWA,KEN,2497707,1201,2.4155,23.0613,193,462,12531808,49953304,886,102,46,98,20,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2019,Q1,RWA,KEN,4545655,1201,2.4049,24.6610,191,491,12611239,50201420,896,101,45,92,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2019,Q2,RWA,KEN,2534190,1201,2.5913,25.6314,204,508,12685398,50450195,906,101,51,89,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2019,Q3,RWA,KEN,3558246,1201,2.5685,24.8063,201,489,12759994,50700203,917,103,44,88,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2019,Q4,RWA,KEN,3144707,1201,2.6372,25.3330,205,497,12835028,50951450,931,102,46,110,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2020,Q1,RWA,KEN,2915851,1201,2.5405,26.9232,197,526,12912698,51211110,948,102,41,98,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2020,Q2,RWA,KEN,8019371,1201,2.2924,24.5521,176,477,12990121,51468042,949,106,54,105,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2020,Q3,RWA,KEN,3454250,1201,2.5490,23.5359,195,455,13068008,51726263,962,108,48,110,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2020,Q4,RWA,KEN,4725718,1201,2.6176,25.7673,199,496,13146362,51985780,983,109,43,113,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2021,Q1,RWA,KEN,6583875,1201,2.6136,26.9973,198,516,13231822,52276094,990,110,57,93,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2021,Q2,RWA,KEN,3645087,1201,2.6819,28.2774,202,538,13308071,52518145,995,108,45,108,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2021,Q3,RWA,KEN,8011491,1201,2.7477,26.9979,205,512,13384758,52761316,1004,109,44,73,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2021,Q4,RWA,KEN,11379656,1201,2.8978,28.0614,215,529,13461888,53005614,1011,112,49,74,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2022,Q1,RWA,KEN,6055909,1201,4.0204,25.5882,299,480,13454747,53282780,1014,119,68,51,5.41,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2022,Q2,RWA,KEN,2737562,1201,4.4584,26.3049,330,491,13525102,53561396,1021,123,62,51,6.69,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2022,Q3,RWA,KEN,2591849,1201,3.7474,25.7159,276,478,13595825,53841468,1033,126,48,20,2.87,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2022,Q4,RWA,KEN,765887,1201,4.4199,26.9805,323,499,13666917,54123005,1054,128,18,27,1.99,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2023,Q1,RWA,KEN,237391,1201,3.8677,29.0096,282,533,13738381,54406014,1088,130,23,42,5.77,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2023,Q2,RWA,KEN,1171521,1201,3.9669,29.4666,287,539,13810219,54690503,1128,133,19,37,7.33,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2023,Q3,RWA,KEN,1022510,1201,3.4317,28.1027,247,511,13882433,54976480,1187,135,17,35,6.98,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2023,Q4,RWA,KEN,471629,1201,4.057,29.9815,291,543,13955024,55263952,1238,137,21,42,5.79,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2024,Q1,RWA,KEN,2512520,1201,3.5322,30.9074,252,556,14027995,55552927,1279,138,22,37,6.94,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2024,Q2,RWA,KEN,1711349,1201,3.7731,31.4302,268,563,14101347,55843414,1300,139,20,38,6.48,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2024,Q3,RWA,KEN,945705,1201,3.2929,30.1979,232,538,14175083,56135419,1327,140,17,36,6.29,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2024,Q4,RWA,KEN,812861,1201,3.8529,33.258,270,589,14249205,56428951,1366,141,31,52,6.99,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2017,Q1,RWA,UG,3020830,513,2.2399,7.4317,187,190,12009263,39120314,824,3596,43,77,13,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q2,RWA,UG,1837111,513,2.2989,7.6049,190,193,12082508,39453066,834,3613,47,95,13,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q3,RWA,UG,3250635,513,2.3092,8.7509,190,220,12156199,39788648,842,3600,44,136,13,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q4,RWA,UG,4914251,513,2.3330,7.8409,191,195,12230339,40127085,852,3621,47,90,14,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q1,RWA,UG,6337864,513,2.3621,8.1361,192,201,12310059,40499634,858,3616,48,92,15,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q2,RWA,UG,5267883,513,2.3701,8.2981,191,203,12383536,40835429,868,3756,46,93,21,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q3,RWA,UG,3558043,513,2.3776,9.0907,191,221,12457451,41174009,875,3761,45,115,15,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q4,RWA,UG,2742700,513,2.4155,8.5951,193,207,12531808,41515395,886,3743,46,98,20,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q1,RWA,UG,4846730,513,2.4049,8.7280,191,208,12611239,41876061,896,3694,45,92,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q2,RWA,UG,5002462,513,2.5913,8.9406,204,212,12685398,42230722,906,3745,51,89,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q3,RWA,UG,3297060,513,2.5685,10.2704,201,241,12759994,42588386,917,3688,44,88,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q4,RWA,UG,2781370,513,2.6372,9.8456,205,229,12835028,42949080,931,3689,46,110,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q1,RWA,UG,1391052,513,2.5405,9.1053,197,210,12912698,43355918,948,3706,41,98,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q2,RWA,UG,409820,513,2.2924,8.4268,176,193,12990121,43702701,949,3767,54,105,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q3,RWA,UG,873980,513,2.5490,10.5716,195,240,13068008,44052258,962,3690,48,110,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q4,RWA,UG,983768,513,2.6176,9.9973,199,225,13146362,44404611,983,3697,43,113,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q1,RWA,UG,1027148,513,2.6136,9.5650,198,214,13231822,44787780,990,3673,57,93,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q2,RWA,UG,791597,513,2.6819,10.4160,202,231,13308071,45140331,995,3572,45,108,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q3,RWA,UG,839712,513,2.7477,11.5194,205,253,13384758,45495656,1004,3538,44,73,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q4,RWA,UG,1291249,513,2.8978,11.1363,215,243,13461888,45853778,1011,3562,49,74,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q1,RWA,UG,1466301,513,4.0204,13.6409,299,296,13454747,46093547,1014,3557,68,51,5.41,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q2,RWA,UG,2371693,513,4.4584,12.5046,330,270,13525102,46334571,1021,3696,62,51,6.69,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q3,RWA,UG,4399831,513,3.7474,11.8638,276,255,13595825,46576854,1033,3834,48,20,2.87,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q4,RWA,UG,3920786,513,4.4199,13.598,323,290,13666917,46820404,1054,3748,18,27,1.99,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q1,RWA,UG,3806841,513,3.8677,15.235,282,324,13738381,47065228,1088,3724,23,42,5.77,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q2,RWA,UG,2640920,513,3.9669,14.0015,287,296,13810219,47311332,1128,3721,19,37,7.33,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q3,RWA,UG,3211379,513,3.4317,13.4381,247,283,13882433,47558723,1187,3695,17,35,6.98,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q4,RWA,UG,2928535,513,4.057,14.771,291,309,13955024,47807408,1238,3791,21,42,5.79,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q1,RWA,UG,3116944,513,3.5322,16.8137,252,350,14027995,48057393,1279,3870,22,37,6.94,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q2,RWA,UG,2253539,513,3.7731,15.4919,268,321,14101347,48308685,1300,3773,20,38,6.48,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q3,RWA,UG,4095190,513,3.2929,15.3886,232,317,14175083,48561291,1327,3702,17,36,6.29,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q4,RWA,UG,2944625,513,3.8529,16.5665,270,339,14249205,48815218,1366,3672,31,52,6.99,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q1,UG,KEN,83583279,688,7.4317,19.9780,190,415,39120314,48188271,3596,103,43,77,13,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q2,UG,KEN,221636694,688,7.6049,20.9154,193,432,39453066,48440240,3613,103,47,95,13,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q3,UG,KEN,159598621,688,8.7509,20.4307,220,420,39788648,48693526,3600,104,44,136,13,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q4,UG,KEN,229027900,688,7.8409,20.7195,195,423,40127085,48948137,3621,103,47,90,14,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q1,UG,KEN,262653318,688,8.1361,22.4538,201,456,40499634,49231724,3616,102,48,92,15,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q2,UG,KEN,190735504,688,8.2981,23.6403,203,478,40835429,49471085,3756,101,46,93,21,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q3,UG,KEN,174810843,688,9.0907,23.0850,221,464,41174009,49711610,3761,101,45,115,15,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q4,UG,KEN,101903610,688,8.5951,23.0613,207,462,41515395,49953304,3743,102,46,98,20,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q1,UG,KEN,86218192,688,8.7280,24.6610,208,491,41876061,50201420,3694,101,45,92,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
